AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
158,63,16,39.9,15.75,14,4,0,28.6,6,1.50,97,4,5,31,10.8,82,39.0,16.0,57.3,291,2021-10-15,2021,10,15,滋賀県,ウカルちゃんアリーナ,東レアローズ,ヴィクトリーナ姫路,越谷章,高杉洋平,3,1,4,Win,98,92,112,18:15,20:16,767,大塚達也,北村友香,西山尚幸,小口広之進,Home,158,56,15,35.4,14.00,10,1,1,10.0,10,2.50,93,1,10,27,5.6,91,47.0,10.0,57.1
158,56,15,35.4,14.00,10,1,1,10.0,10,2.50,93,1,10,27,5.6,91,47.0,10.0,57.1,291,2021-10-15,2021,10,15,滋賀県,ウカルちゃんアリーナ,ヴィクトリーナ姫路,東レアローズ,中谷宏大,高橋駿,1,3,4,Lose,92,98,112,18:15,20:16,767,大塚達也,北村友香,西山尚幸,小口広之進,Away,158,63,16,39.9,15.75,14,4,0,28.6,6,1.50,97,4,5,31,10.8,82,39.0,16.0,57.3
152,44,14,28.9,11.00,22,2,4,9.1,9,2.25,86,3,7,21,7.6,85,41.0,18.0,58.8,293,2021-10-16,2021,10,16,愛知県,ウィングアリーナ刈谷,トヨタ車体クインシーズ,JTマーヴェラス,印東玄弥,今村駿,1,3,4,Lose,85,96,116,12:00,14:05,452,小柴滋,吉岡奈々,内藤聡美,戸田幸喜,Home,149,61,12,40.9,15.25,22,10,4,45.5,8,2.00,95,5,9,23,8.9,78,43.0,13.0,63.5
149,61,12,40.9,15.25,22,10,4,45.5,8,2.00,95,5,9,23,8.9,78,43.0,13.0,63.5,293,2021-10-16,2021,10,16,愛知県,ウィングアリーナ刈谷,JTマーヴェラス,トヨタ車体クインシーズ,吉原知子,丹山禎昭,3,1,4,Win,96,85,116,12:00,14:05,452,小柴滋,吉岡奈々,内藤聡美,戸田幸喜,Away,152,44,14,28.9,11.00,22,2,4,9.1,9,2.25,86,3,7,21,7.6,85,41.0,18.0,58.8
94,52,5,55.3,17.33,11,6,1,54.5,7,2.33,74,5,7,24,12.5,45,17.0,16.0,55.6,292,2021-10-16,2021,10,16,神奈川県,とどろきアリーナ,NECレッドロケッツ,KUROBEアクアフェアリーズ,金子隆行,井上裕介,3,0,3,Win,75,46,69,13:00,14:22,1218,勝又正,増岡三佳子,津嶋由香,渡部仁志,Home,100,30,8,30.0,10.00,5,2,1,40.0,2,0.67,47,0,2,12,5.3,65,15.0,23.0,40.8
100,30,8,30.0,10.00,5,2,1,40.0,2,0.67,47,0,2,12,5.3,65,15.0,23.0,40.8,292,2021-10-16,2021,10,16,神奈川県,とどろきアリーナ,KUROBEアクアフェアリーズ,NECレッドロケッツ,丸山貴也,宮脇裕史,0,3,3,Lose,46,75,69,13:00,14:22,1218,勝又正,増岡三佳子,津嶋由香,渡部仁志,Away,94,52,5,55.3,17.33,11,6,1,54.5,7,2.33,74,5,7,24,12.5,45,17.0,16.0,55.6
168,65,6,38.7,16.25,21,8,2,38.1,10,2.50,97,3,10,23,6.4,75,39.0,21.0,66.0,294,2021-10-16,2021,10,16,愛知県,西尾市総合体育館,デンソーエアリービーズ,PFUブルーキャッツ,川北元,ｺﾞﾝｻﾞﾚｽｸﾘｽﾄﾌｧｰ,3,1,4,Win,98,82,113,13:00,15:02,660,加治健男,明井寿枝,沢田元,姫野真行,Home,167,58,7,34.7,14.50,11,5,1,45.5,4,1.00,83,3,8,15,5.7,87,37.0,27.0,58.0
167,58,7,34.7,14.50,11,5,1,45.5,4,1.00,83,3,8,15,5.7,87,37.0,27.0,58.0,294,2021-10-16,2021,10,16,愛知県,西尾市総合体育館,PFUブルーキャッツ,デンソーエアリービーズ,坂本将康,舟越悠二,1,3,4,Lose,82,98,113,13:00,15:02,660,加治健男,明井寿枝,沢田元,姫野真行,Away,168,65,6,38.7,16.25,21,8,2,38.1,10,2.50,97,3,10,23,6.4,75,39.0,21.0,66.0
190,71,10,37.4,14.20,4,1,0,25.0,13,2.60,113,2,7,34,7.7,96,37.0,23.0,50.5,297,2021-10-16,2021,10,16,佐賀県,佐賀県総合体育館,久光スプリングス,日立Astemoリヴァーレ,酒井新悟,大久保茂和,2,3,5,Lose,112,107,135,13:05,15:32,812,村上成司,林淳一,平田敬基,久保温子,Home,191,74,10,38.7,14.80,23,7,3,30.4,4,0.80,106,6,8,32,11.3,104,50.0,20.0,57.7
191,74,10,38.7,14.80,23,7,3,30.4,4,0.80,106,6,8,32,11.3,104,50.0,20.0,57.7,297,2021-10-16,2021,10,16,佐賀県,佐賀県総合体育館,日立Astemoリヴァーレ,久光スプリングス,多治見麻子,達川和彦,3,2,5,Win,107,112,135,13:05,15:32,812,村上成司,林淳一,平田敬基,久保温子,Away,190,71,10,37.4,14.20,4,1,0,25.0,13,2.60,113,2,7,34,7.7,96,37.0,23.0,50.5
211,64,10,30.3,12.80,1,0,1,0.0,5,1.00,103,3,1,29,9.7,101,71.0,11.0,75.7,296,2021-10-16,2021,10,16,岡山県,笠岡総合体育館,岡山シーガルズ,埼玉上尾メディックス,河本昭義,吉田啓佑,2,3,5,Lose,103,117,134,14:00,16:26,560,石井洋壮,冨田博一,本間明,金谷基代,Home,224,88,11,39.3,17.60,9,2,1,22.2,11,2.20,117,2,15,19,2.6,101,53.0,20.0,62.4
224,88,11,39.3,17.60,9,2,1,22.2,11,2.20,117,2,15,19,2.6,101,53.0,20.0,62.4,296,2021-10-16,2021,10,16,岡山県,笠岡総合体育館,埼玉上尾メディックス,岡山シーガルズ,ｱﾝﾄﾆｵﾏﾙｺｽﾚﾙﾊﾞｯｷ,馬場大拓,3,2,5,Win,117,103,134,14:00,16:26,560,石井洋壮,冨田博一,本間明,金谷基代,Away,211,64,10,30.3,12.80,1,0,1,0.0,5,1.00,103,3,1,29,9.7,101,71.0,11.0,75.7
109,53,5,48.6,17.67,8,3,0,37.5,4,1.33,74,3,3,25,11.5,50,31.0,7.0,69.0,295,2021-10-16,2021,10,16,滋賀県,ウカルちゃんアリーナ,東レアローズ,ヴィクトリーナ姫路,越谷章,高杉洋平,3,0,3,Win,75,55,75,17:30,18:51,496,大塚達也,森口豊,西山尚幸,小口広之進,Home,117,43,10,36.8,14.33,8,3,1,37.5,2,0.67,56,2,5,11,6.2,71,34.0,9.0,54.2
117,43,10,36.8,14.33,8,3,1,37.5,2,0.67,56,2,5,11,6.2,71,34.0,9.0,54.2,295,2021-10-16,2021,10,16,滋賀県,ウカルちゃんアリーナ,ヴィクトリーナ姫路,東レアローズ,中谷宏大,高橋駿,0,3,3,Lose,55,75,75,17:30,18:51,496,大塚達也,森口豊,西山尚幸,小口広之進,Away,109,53,5,48.6,17.67,8,3,0,37.5,4,1.33,74,3,3,25,11.5,50,31.0,7.0,69.0
81,23,11,28.4,7.67,8,2,2,25.0,3,1.00,50,2,9,8,3.5,63,23.0,23.0,54.8,299,2021-10-17,2021,10,17,愛知県,ウィングアリーナ刈谷,トヨタ車体クインシーズ,JTマーヴェラス,印東玄弥,今村駿,0,3,3,Lose,48,75,73,12:00,13:19,402,小柴滋,内藤聡美,吉岡奈々,田中栄二,Home,80,40,9,50.0,13.33,16,5,4,31.2,7,2.33,73,4,8,14,7.5,39,16.0,14.0,59.0
80,40,9,50.0,13.33,16,5,4,31.2,7,2.33,73,4,8,14,7.5,39,16.0,14.0,59.0,299,2021-10-17,2021,10,17,愛知県,ウィングアリーナ刈谷,JTマーヴェラス,トヨタ車体クインシーズ,吉原知子,丹山禎昭,3,0,3,Win,75,48,73,12:00,13:19,402,小柴滋,内藤聡美,吉岡奈々,田中栄二,Away,81,23,11,28.4,7.67,8,2,2,25.0,3,1.00,50,2,9,8,3.5,63,23.0,23.0,54.8
