AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
120,58,1,48.3,19.33,0,0,0,-,5,1.67,74,4,2,16,10.1,48,28.0,4.0,62.5,601,2017-11-04,2017,11,04,,金沢市総合体育館,岡山シーガルズ,フォレストリーヴズ熊本,河本昭義,吉田啓佑,3,0,3,Win,75,48,66,11:00,12:12,590,小柴滋,内藤聡美,宮坂広,橋場薫,Home,128,42,6,32.8,14.00,3,0,0,0.0,1,0.33,49,0,1,16,7.7,72,37.0,15.0,61.8
128,42,6,32.8,14.00,3,0,0,0.0,1,0.33,49,0,1,16,7.7,72,37.0,15.0,61.8,601,2017-11-04,2017,11,04,,金沢市総合体育館,フォレストリーヴズ熊本,岡山シーガルズ,中島裕二,和多桃子,0,3,3,Lose,48,75,66,11:00,12:12,590,小柴滋,内藤聡美,宮坂広,橋場薫,Away,120,58,1,48.3,19.33,0,0,0,-,5,1.67,74,4,2,16,10.1,48,28.0,4.0,62.5
178,52,11,29.2,13.00,16,2,3,12.5,3,0.75,76,3,5,22,9.5,86,38.0,17.0,54.1,602,2017-11-04,2017,11,04,,金沢市総合体育館,大野石油広島オイラーズ,JAぎふリオレーナ,原秀治,鈴木輝,1,3,4,Lose,76,95,93,13:15,14:57,870,小柴滋,紙井ひとみ,松谷俊宏,宮坂絵理子,Home,170,60,9,35.3,15.00,15,4,0,26.7,6,1.50,94,4,5,31,11.2,71,30.0,19.0,55.6
170,60,9,35.3,15.00,15,4,0,26.7,6,1.50,94,4,5,31,11.2,71,30.0,19.0,55.6,602,2017-11-04,2017,11,04,,金沢市総合体育館,JAぎふリオレーナ,大野石油広島オイラーズ,椿本真恵,皆川佳介,3,1,4,Win,95,76,93,13:15,14:57,870,小柴滋,紙井ひとみ,松谷俊宏,宮坂絵理子,Away,178,52,11,29.2,13.00,16,2,3,12.5,3,0.75,76,3,5,22,9.5,86,38.0,17.0,54.1
98,48,5,49.0,16.00,15,6,1,40.0,11,3.67,75,5,2,23,13.7,42,21.0,6.0,57.1,603,2017-11-04,2017,11,04,,金沢市総合体育館,PFUブルーキャッツ,トヨタ自動車ヴァルキューレ,寺廻太,加藤陽一,3,0,3,Win,76,45,62,15:45,16:53,1282,小柴滋,吉岡奈々,国沢雄介,宮坂絵理子,Home,105,35,5,33.3,11.67,4,0,0,0.0,1,0.33,46,1,3,14,8.2,72,36.0,9.0,56.2
105,35,5,33.3,11.67,4,0,0,0.0,1,0.33,46,1,3,14,8.2,72,36.0,9.0,56.2,603,2017-11-04,2017,11,04,,金沢市総合体育館,トヨタ自動車ヴァルキューレ,PFUブルーキャッツ,金子健一郎,甲斐啓祐,0,3,3,Lose,45,76,62,15:45,16:53,1282,小柴滋,吉岡奈々,国沢雄介,宮坂絵理子,Away,98,48,5,49.0,16.00,15,6,1,40.0,11,3.67,75,5,2,23,13.7,42,21.0,6.0,57.1
163,69,7,42.3,17.25,7,0,1,0.0,9,2.25,93,2,7,27,7.5,72,35.0,15.0,59.0,604,2017-11-05,2017,11,05,,金沢市総合体育館,KUROBEアクアフェアリーズ,大野石油広島オイラーズ,米山弘,竹中雅詞,0,0,0,Lose,0,0,0,12:00,0:00,730,0,0,0,,Home,169,49,6,29.0,12.25,7,2,0,28.6,4,1.00,77,3,3,22,10.1,85,36.0,22.0,55.3
169,49,6,29.0,12.25,7,2,0,28.6,4,1.00,77,3,3,22,10.1,85,36.0,22.0,55.3,604,2017-11-05,2017,11,05,,金沢市総合体育館,大野石油広島オイラーズ,KUROBEアクアフェアリーズ,原秀治,鈴木輝,0,0,0,Win,0,0,0,12:00,0:00,730,0,0,0,,Away,163,69,7,42.3,17.25,7,0,1,0.0,9,2.25,93,2,7,27,7.5,72,35.0,15.0,59.0
219,76,13,34.7,15.20,34,8,4,23.5,5,1.00,99,2,6,32,8.6,103,43.0,18.0,50.5,605,2017-11-05,2017,11,05,,金沢市総合体育館,PFUブルーキャッツ,岡山シーガルズ,寺廻太,加藤陽一,2,3,5,Lose,98,110,133,14:25,16:50,1421,小柴滋,吉岡奈々,内藤聡美,宮坂絵理子,Home,214,72,4,33.6,14.40,0,0,0,-,6,1.20,109,8,5,41,15.6,93,47.0,14.0,58.1
214,72,4,33.6,14.40,0,0,0,-,6,1.20,109,8,5,41,15.6,93,47.0,14.0,58.1,605,2017-11-05,2017,11,05,,金沢市総合体育館,岡山シーガルズ,PFUブルーキャッツ,河本昭義,吉田啓佑,3,2,5,Win,110,98,133,14:25,16:50,1421,小柴滋,吉岡奈々,内藤聡美,宮坂絵理子,Away,219,76,13,34.7,15.20,34,8,4,23.5,5,1.00,99,2,6,32,8.6,103,43.0,18.0,50.5
