AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
129,53,14,41.1,13.25,15,6,3,40.0,11,2.75,87,4,17,18,4.9,92,54.0,19.0,69.0,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,1,3,4,Lose,86,100,97,15:20,17:06,190,勝又正,慈眼雅啓,高橋直也,高橋賢司,Home,103,54,8,52.4,13.50,9,3,1,33.3,9,2.25,99,2,7,19,5.1,69,37.0,14.0,63.8
103,54,8,52.4,13.50,9,3,1,33.3,9,2.25,99,2,7,19,5.1,69,37.0,14.0,63.8,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,100,86,97,15:20,17:06,190,勝又正,慈眼雅啓,高橋直也,高橋賢司,Away,129,53,14,41.1,13.25,15,6,3,40.0,11,2.75,87,4,17,18,4.9,92,54.0,19.0,69.0
106,54,7,50.9,13.50,20,11,2,55.0,13,3.25,97,0,17,22,1.3,60,35.0,6.0,63.3,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,98,78,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Home,117,41,11,35.0,10.25,12,6,0,50.0,3,0.75,79,6,17,19,8.2,80,40.0,18.0,61.3
117,41,11,35.0,10.25,12,6,0,50.0,3,0.75,79,6,17,19,8.2,80,40.0,18.0,61.3,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,78,98,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Away,106,54,7,50.9,13.50,20,11,2,55.0,13,3.25,97,0,17,22,1.3,60,35.0,6.0,63.3
103,45,16,43.7,11.25,14,9,3,64.3,9,2.25,89,1,8,17,3.7,72,29.0,17.0,52.1,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,88,95,96,10:00,11:45,542,酒出修,大塚健之,笹木宣拓,佐藤真理,Home,136,60,9,44.1,15.00,25,8,4,32.0,8,2.00,94,1,22,25,1.9,81,45.0,19.0,67.3
136,60,9,44.1,15.00,25,8,4,32.0,8,2.00,94,1,22,25,1.9,81,45.0,19.0,67.3,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,3,1,4,Win,95,88,96,10:00,11:45,542,酒出修,大塚健之,笹木宣拓,佐藤真理,Away,103,45,16,43.7,11.25,14,9,3,64.3,9,2.25,89,1,8,17,3.7,72,29.0,17.0,52.1
91,42,4,46.2,10.50,19,8,1,42.1,11,2.75,92,3,16,19,4.1,59,32.0,11.0,63.6,504,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,ヴィアティン三重,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,1,4,Win,93,81,95,13:30,15:21,453,酒出修,佐藤美里,川島秀夫,大友大輔,Home,113,48,15,42.5,12.00,19,7,5,36.8,5,1.25,82,6,21,16,5.8,74,43.0,12.0,66.2
113,48,15,42.5,12.00,19,7,5,36.8,5,1.25,82,6,21,16,5.8,74,43.0,12.0,66.2,504,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,ヴィアティン三重,ヴォレアス北海道,亀田吉彦,,1,3,4,Lose,81,93,95,13:30,15:21,453,酒出修,佐藤美里,川島秀夫,大友大輔,Away,91,42,4,46.2,10.50,19,8,1,42.1,11,2.75,92,3,16,19,4.1,59,32.0,11.0,63.6
93,42,9,45.2,14.00,10,4,3,40.0,12,4.00,73,1,7,18,5.1,54,29.0,11.0,63.9,505,2020-10-25,2020,10,25,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,3,0,3,Win,75,60,73,10:00,11:19,326,酒出修,大塚健之,笹木宣拓,大友大輔,Home,102,35,9,34.3,11.67,17,5,2,29.4,7,2.33,62,1,8,13,3.6,66,33.0,15.0,61.4
102,35,9,34.3,11.67,17,5,2,29.4,7,2.33,62,1,8,13,3.6,66,33.0,15.0,61.4,505,2020-10-25,2020,10,25,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,0,3,3,Lose,60,75,73,10:00,11:19,326,酒出修,大塚健之,笹木宣拓,大友大輔,Away,93,42,9,45.2,14.00,10,4,3,40.0,12,4.00,73,1,7,18,5.1,54,29.0,11.0,63.9
